id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-8	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-8_16k.wav:0:255432	15964	255432	<triplet> Olivia Palermo <subj> Gossip Girl <obj> person employee of	0	en
train-9	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-9_16k.wav:0:228311	14269	228311	<triplet> Lashkar-e-Taiba <subj> Army of the Pure <obj> organization alternate names	0	en
train-23	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-23_16k.wav:0:156979	9811	156979	<triplet> Donald Wildmon <subj> American Family Association <obj> person employee of	0	en
train-29	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-29_16k.wav:0:188187	11761	188187	<triplet> Fuller <subj> creator <obj> person title	0	en
train-47	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-47_16k.wav:0:277351	17334	277351	<triplet> Kim <subj> 25-year-old <obj> person age	0	en
train-58	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-58_16k.wav:0:220137	13758	220137	<triplet> PRC <subj> Popular Resistance Committee <obj> organization alternate names	0	en
train-61	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-61_16k.wav:0:214936	13433	214936	<triplet> Barbara Boxer <subj> Sen <obj> person employee of	0	en
train-77	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-77_16k.wav:0:219394	13712	219394	<triplet> Al Hubbard <subj> chairman <obj> person title <subj> chairman of the National Economic Council <obj> person employee of <subj> National Economic Council <obj> person employee of	0	en
train-87	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-87_16k.wav:0:197846	12365	197846	<triplet> Ferrara <subj> Bianconeri <obj> person employee of	0	en
train-89	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-89_16k.wav:0:209735	13108	209735	<triplet> Richard Lindzen <subj> professor <obj> person title <subj> MIT <obj> person employee of	0	en
train-92	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-92_16k.wav:0:217165	13572	217165	<triplet> Blackburn Rovers <subj> Blackburn <obj> organization alternate names	0	en
train-94	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-94_16k.wav:0:75616	4726	75616	<triplet> Scheider <subj> police chief <obj> person title	0	en
train-97	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-97_16k.wav:0:108310	6769	108310	<triplet> Teddy Kollek <subj> Mayor <obj> person title	0	en
train-103	/data/wangguitao/IWSLT/Datasets/tacred/train_0-9999/train-103_16k.wav:0:299271	18704	299271	<triplet> FEC <subj> Trevor Potter <obj> organization top members employees	0	en
