id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-7	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-7_16k.wav:0:254689	15918	254689	<triplet> he <subj> he <obj> person identity	0	en
train-9	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-9_16k.wav:0:228311	14269	228311	<triplet> Lashkar-e-Taiba <subj> Army of the Pure <obj> organization alternate names	0	en
train-19	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-19_16k.wav:0:266949	16684	266949	<triplet> Ahmad Qattan <subj> Saudi <obj> person origin <subj> he <obj> person identity <subj> Arab League <obj> person employee of <subj> representative <obj> person title <subj> his <obj> person identity <subj> Saudi <obj> person origin <triplet> he <subj> Saudi <obj> person origin <subj> his <obj> person identity <subj> representative <obj> person title <subj> Ahmad Qattan <obj> person identity <triplet> his <subj> representative <obj> person title <subj> Ahmad Qattan <obj> person identity <subj> Arab League <obj> person employee of <subj> Saudi <obj> person employee of <subj> Saudi <obj> person origin	0	en
train-23	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-23_16k.wav:0:156979	9811	156979	<triplet> Donald Wildmon <subj> American Family Association <obj> person employee of	0	en
train-29	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-29_16k.wav:0:188187	11761	188187	<triplet> Fuller <subj> creator <obj> person title	0	en
train-31	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-31_16k.wav:0:65585	4099	65585	<triplet> Disneyland <subj> Hong Kong <obj> organization city of branch	0	en
train-47	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-47_16k.wav:0:277351	17334	277351	<triplet> Kim <subj> 25-year-old <obj> person age	0	en
train-49	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-49_16k.wav:0:216794	13549	216794	<triplet> Andre Carson <subj> he <obj> person identity <subj> he <obj> person identity <triplet> he <subj> Andre Carson <obj> person identity <subj> he <obj> person identity <subj> Andre Carson <obj> person identity	0	en
train-58	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-58_16k.wav:0:220137	13758	220137	<triplet> PRC <subj> Popular Resistance Committee <obj> organization alternate names	0	en
train-64	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-64_16k.wav:0:231283	14455	231283	<triplet> Steve McPherson <subj> ABS <obj> person employee of <subj> president <obj> person title <subj> he <obj> person identity <triplet> he <subj> Steve McPherson <obj> person identity <subj> ABS <obj> person employee of	0	en
