id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-0	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-0_16k.wav:0:239828	14989	239828	<triplet> Radio Reloj Network <subj> Havana <obj> Base	0	en
train-1	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-1_16k.wav:0:64099	4006	64099	<triplet> Bruno Pusterla <subj> Italian Agricultural Confederation <obj> Work	0	en
train-2	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-2_16k.wav:0:201190	12574	201190	<triplet> Morgan City <subj> Louisiana <obj> Locate	0	en
train-3	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-3_16k.wav:0:152521	9532	152521	<triplet> Annie Oakley <subj> Willowdell , Darke County <obj> Live <triplet> Little Miss Sure Shot <subj> Willowdell , Darke County <obj> Live <triplet> Phoebe Ann Moses <subj> Willowdell , Darke County <obj> Live	0	en
train-4	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-4_16k.wav:0:155493	9718	155493	<triplet> Livingston <subj> Texas <obj> Locate	0	en
train-5	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-5_16k.wav:0:226825	14176	226825	<triplet> XINHUA <subj> Beijing <obj> Base	0	en
train-6	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-6_16k.wav:0:198961	12435	198961	<triplet> Shi Liming <subj> Institute of Zoology <obj> Work <triplet> Institute of Zoology <subj> Kunming <obj> Base	0	en
train-7	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-7_16k.wav:0:257288	16080	257288	<triplet> Lucille Ball <subj> Jamestown N.Y. <obj> Live	0	en
train-8	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-8_16k.wav:0:203790	12736	203790	<triplet> John Wilkes Booth <subj> Abraham Lincoln <obj> Kill	0	en
train-9	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-9_16k.wav:0:350169	21885	350169	<triplet> Oswald <subj> President Kennedy <obj> Kill <subj> Officer Tippit <obj> Kill	0	en
train-10	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-10_16k.wav:0:201561	12597	201561	<triplet> Bob Boyd <subj> Chattanooga <obj> Live <subj> Tenn. <obj> Live <triplet> Chattanooga <subj> Tenn. <obj> Locate	0	en
train-11	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-11_16k.wav:0:58898	3681	58898	<triplet> Rome <subj> Lazio <obj> Locate <triplet> Naples <subj> Campania <obj> Locate	0	en
train-12	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-12_16k.wav:0:191530	11970	191530	<triplet> State Department <subj> U.S. <obj> Base <triplet> Harvard <subj> U.S. <obj> Base	0	en
train-13	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-13_16k.wav:0:53325	3332	53325	<triplet> Mikhail Shevtsov <subj> ITAR-TASS <obj> Work	0	en
train-14	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-14_16k.wav:0:146205	9137	146205	<triplet> Allan Fitzmaurice. <subj> XBT <obj> Work	0	en
train-15	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-15_16k.wav:0:88619	5538	88619	<triplet> Betsy Ross <subj> Philadelphia <obj> Live	0	en
train-16	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-16_16k.wav:0:75616	4726	75616	<triplet> Fire Island National Seashore <subj> Patchogue <obj> Locate <subj> N.Y. <obj> Locate <triplet> Patchogue <subj> N.Y. <obj> Locate	0	en
train-17	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-17_16k.wav:0:98279	6142	98279	<triplet> XINHUA <subj> Beijing <obj> Base	0	en
train-18	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-18_16k.wav:0:181871	11366	181871	<triplet> Boise <subj> Idaho <obj> Locate	0	en
train-19	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-19_16k.wav:0:263234	16452	263234	<triplet> Santa Ana <subj> Southern California <obj> Locate	0	en
train-20	/data/wangguitao/IWSLT/Datasets/conll04/train/conll04_train-20_16k.wav:0:198218	12388	198218	<triplet> Strom Thurmond <subj> Congress <obj> Work	0	en
